setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of ammonium chloride (NH4Cl), mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aaiVh,288.15,0,84.5,0.035,999.719,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
aaiVh,288.15,0.00113,84.5,0.035,999.762,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
aaiVh,288.15,0.00113,84.5,0.035,999.762,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
aaiVh,288.15,0.002,84.5,0.035,999.798,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
aaiVh,288.15,0.002,84.5,0.035,999.798,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
aaiVh,288.15,0.00261,84.5,0.035,999.821,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
aaiVh,288.15,0.00261,84.5,0.035,999.821,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
aaiVh,288.15,0.00286,84.5,0.035,999.828,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
aaiVh,288.15,0.00286,84.5,0.035,999.828,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
aaiVh,288.15,0.00372,84.5,0.035,999.864,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
aaiVh,288.15,0.00372,84.5,0.035,999.864,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
aaiVh,288.15,0.0044,84.5,0.035,999.89,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
aaiVh,288.15,0.0044,84.5,0.035,999.89,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
aaiVh,288.15,0.00496,84.5,0.035,999.911,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
aaiVh,288.15,0.00496,84.5,0.035,999.911,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
aaiVh,288.15,0.00545,84.5,0.035,999.929,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
aaiVh,288.15,0.00545,84.5,0.035,999.929,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
