setid,Weight fraction of water,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iGdJQ,0,101.3,298.15,1279,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.05,101.3,298.15,1253,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.1,101.3,298.15,1229,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.15,101.3,298.15,1207,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.2,101.3,298.15,1187,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.25,101.3,298.15,1169,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.3,101.3,298.15,1153,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.35,101.3,298.15,1137,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.4,101.3,298.15,1123,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.45,101.3,298.15,1110,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.5,101.3,298.15,1098,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.55,101.3,298.15,1087,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.6,101.3,298.15,1077,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.65,101.3,298.15,1067,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.7,101.3,298.15,1057,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.75,101.3,298.15,1047,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.8,101.3,298.15,1038,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.85,101.3,298.15,1028,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.9,101.3,298.15,1018,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iGdJQ,0.95,101.3,298.15,1007,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
