setid,Mole fraction of 1-methyl-3-octylimidazolium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fTWZT,0.253,313.15,97.6,1044.1,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.253,318.15,97.6,1040.4,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.253,323.15,97.6,1036.7,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.253,328.15,97.6,1033,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.253,333.15,97.6,1029.2,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.253,338.15,97.6,1025.5,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.253,343.15,97.6,1021.9,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.253,348.15,97.6,1018.2,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.253,353.15,97.6,1014.5,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.338,303.15,97.6,1042.8,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.338,308.15,97.6,1039.2,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.338,313.15,97.6,1035.7,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.338,318.15,97.6,1032.1,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.338,323.15,97.6,1028.6,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.338,328.15,97.6,1025.1,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.338,333.15,97.6,1021.5,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.338,338.15,97.6,1018,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.338,343.15,97.6,1014.6,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.338,348.15,97.6,1011.1,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.338,353.15,97.6,1007.6,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.439,303.15,97.6,1034.3,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
