setid,Mole fraction of nonane,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DiYKl,0.0307,298.15,101,827,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,11,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAYikW,CCCCCCCCC,nonane
DiYKl,0.0355,298.15,101,1230,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,11,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAYikW,CCCCCCCCC,nonane
DiYKl,0.0617,298.15,101,1329.9,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,11,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAYikW,CCCCCCCCC,nonane
DiYKl,0.0726,298.15,101,1307.9,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,11,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAYikW,CCCCCCCCC,nonane
DiYKl,0.0834,298.15,101,1293.9,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,11,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAYikW,CCCCCCCCC,nonane
DiYKl,0.2256,298.15,101,824.6,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,11,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAYikW,CCCCCCCCC,nonane
DiYKl,0.2881,298.15,101,802.7,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,11,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAYikW,CCCCCCCCC,nonane
DiYKl,0.3538,298.15,101,797.3,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,11,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAYikW,CCCCCCCCC,nonane
DiYKl,0.4886,298.15,101,808.3,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,11,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAYikW,CCCCCCCCC,nonane
DiYKl,0.7494,298.15,101,832.9,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,11,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAYikW,CCCCCCCCC,nonane
DiYKl,0.7956,298.15,101,839.9,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,11,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",AAYikW,CCCCCCCCC,nonane
