setid,"Temperature, K","MolaLity of 1-butyl-4-methylpyridinium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nLOGN,288.15,0.025,100,999.7,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,288.15,0.05,100,999.99,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,288.15,0.075,100,1000.28,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,288.15,0.1,100,1000.57,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,293.15,0.025,100,998.79,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,293.15,0.05,100,999.07,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,293.15,0.075,100,999.34,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,293.15,0.1,100,999.61,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,298.15,0.025,100,997.63,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,298.15,0.05,100,997.89,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,298.15,0.075,100,998.15,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,298.15,0.1,100,998.41,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,303.15,0.025,100,996.22,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,303.15,0.05,100,996.47,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,303.15,0.075,100,996.71,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,303.15,0.1,100,996.96,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,308.15,0.025,100,994.59,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,308.15,0.05,100,994.83,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,308.15,0.075,100,995.07,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
nLOGN,308.15,0.1,100,995.3,Sharma et al. (2017),Density,Liquid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride,,,
