setid,Mole fraction of tris(2-hydroxyethyl) methylammonium methylsulfate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
licMf,0.0478,298.15,101,1129.1,Arce et al. (2008a),Density,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
licMf,0.0967,298.15,101,1195.06,Arce et al. (2008a),Density,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
licMf,0.1939,298.15,101,1258.48,Arce et al. (2008a),Density,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
licMf,0.2421,298.15,101,1275.98,Arce et al. (2008a),Density,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
licMf,0.2894,298.15,101,1288.49,Arce et al. (2008a),Density,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
licMf,0.3872,298.15,101,1306,Arce et al. (2008a),Density,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
licMf,0.4858,298.15,101,1317.5,Arce et al. (2008a),Density,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
licMf,0.6064,298.15,101,1327.1,Arce et al. (2008a),Density,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
licMf,0.6698,298.15,101,1331,Arce et al. (2008a),Density,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
licMf,0.7822,298.15,101,1336.4,Arce et al. (2008a),Density,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
licMf,0.867,298.15,101,1339.6,Arce et al. (2008a),Density,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
licMf,0.9398,298.15,101,1342.1,Arce et al. (2008a),Density,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
