setid,"MolaRity of lithium bis((trifluoromethyl)sulfonyl)amide, mol/dm3","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
USdCJ,0.3,313,101,1345.2,Forero-Saboya et al. (2019),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AAQwFH,O=C1OCCO1,ethylene carbonate,,,
USdCJ,0.3,318.1,101,1339.1,Forero-Saboya et al. (2019),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AAQwFH,O=C1OCCO1,ethylene carbonate,,,
USdCJ,0.3,323,101,1333,Forero-Saboya et al. (2019),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AAQwFH,O=C1OCCO1,ethylene carbonate,,,
USdCJ,0.3,328.1,101,1328.9,Forero-Saboya et al. (2019),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AAQwFH,O=C1OCCO1,ethylene carbonate,,,
USdCJ,0.3,333,101,1320.8,Forero-Saboya et al. (2019),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AAQwFH,O=C1OCCO1,ethylene carbonate,,,
USdCJ,0.3,338.1,101,1316.7,Forero-Saboya et al. (2019),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AAQwFH,O=C1OCCO1,ethylene carbonate,,,
USdCJ,0.3,343,101,1308.6,Forero-Saboya et al. (2019),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AAQwFH,O=C1OCCO1,ethylene carbonate,,,
USdCJ,0.3,348.1,101,1304.5,Forero-Saboya et al. (2019),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AAQwFH,O=C1OCCO1,ethylene carbonate,,,
USdCJ,0.3,353,101,1298.4,Forero-Saboya et al. (2019),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AAQwFH,O=C1OCCO1,ethylene carbonate,,,
USdCJ,0.3,358.1,101,1292.3,Forero-Saboya et al. (2019),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AAQwFH,O=C1OCCO1,ethylene carbonate,,,
USdCJ,0.3,363,101,1288.2,Forero-Saboya et al. (2019),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AAQwFH,O=C1OCCO1,ethylene carbonate,,,
USdCJ,0.5,298.1,101,1383.5,Forero-Saboya et al. (2019),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AAQwFH,O=C1OCCO1,ethylene carbonate,,,
USdCJ,0.5,308.1,101,1375.3,Forero-Saboya et al. (2019),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AAQwFH,O=C1OCCO1,ethylene carbonate,,,
USdCJ,0.5,318.1,101,1361.1,Forero-Saboya et al. (2019),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AAQwFH,O=C1OCCO1,ethylene carbonate,,,
USdCJ,0.5,328.1,101,1350.9,Forero-Saboya et al. (2019),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AAQwFH,O=C1OCCO1,ethylene carbonate,,,
USdCJ,0.5,338.1,101,1340.7,Forero-Saboya et al. (2019),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AAQwFH,O=C1OCCO1,ethylene carbonate,,,
