setid,"Temperature, K","MolaLity of choline lactate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oZaWc,288.15,0.0308,87.1,999.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,288.15,0.0597,87.1,1000.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,288.15,0.0931,87.1,1001.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,288.15,0.1201,87.1,1002,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,288.15,0.1454,87.1,1002.8,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,288.15,0.175,87.1,1003.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,298.15,0.0308,87.1,997.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,298.15,0.0597,87.1,998.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,298.15,0.0931,87.1,999.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,298.15,0.1201,87.1,999.8,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,298.15,0.1454,87.1,1000.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,298.15,0.175,87.1,1001.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,308.15,0.0308,87.1,994.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,308.15,0.0597,87.1,995.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,308.15,0.0931,87.1,997,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,308.15,0.1201,87.1,996.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,308.15,0.1454,87.1,997.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,308.15,0.175,87.1,998.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,318.15,0.0308,87.1,990.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,318.15,0.0597,87.1,991.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,318.15,0.0931,87.1,991.9,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,318.15,0.1201,87.1,992.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,318.15,0.1454,87.1,993.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
oZaWc,318.15,0.175,87.1,993.8,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water,,,
