setid,"Solvent: MolaLity of 1-hexyl-3-methylimidazolium chloride, mol/kg","Temperature, K","MolaLity of potassium citrate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZWuqT,0,288.15,0.02026,100,1003.33,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,288.15,0.0491,100,1009.28,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,288.15,0.06926,100,1013.38,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,288.15,0.09937,100,1019.46,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,288.15,0.19724,100,1038.68,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,288.15,0.29804,100,1057.59,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,288.15,0.39472,100,1074.96,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,288.15,0.49947,100,1092.9,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,288.15,0.57886,100,1105.98,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,288.15,0.69593,100,1124.41,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,288.15,0.79601,100,1139.13,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,288.15,0.88725,100,1152.05,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,288.15,0.99316,100,1166.13,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,293.15,0.02026,100,1002.4,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,293.15,0.0491,100,1008.28,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,293.15,0.06926,100,1012.35,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,293.15,0.09937,100,1018.34,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,293.15,0.19724,100,1037.36,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,293.15,0.29804,100,1056.03,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,293.15,0.39472,100,1073.24,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,293.15,0.49947,100,1091.06,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,293.15,0.57886,100,1104.02,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,293.15,0.69593,100,1122.18,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,293.15,0.79601,100,1136.88,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,293.15,0.88725,100,1149.58,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,293.15,0.99316,100,1163.55,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,298.15,0.02026,100,1001.18,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,298.15,0.0491,100,1007,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
ZWuqT,0,298.15,0.06926,100,1011.03,Kumar and Chadha (2014),Density,Liquid,ABGvsa,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],potassium citrate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
