setid,"Temperature, K","MolaLity of sodium dodecyl sulfate, mol/kg","Pressure, kPa","Solvent: MolaLity of tetrabutylammonium nitrate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BYfBi,298.15,0.0009,100,0.01,997.228,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,298.15,0.001,100,0.01,997.235,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,303.15,0.0001,100,0.01,995.794,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,303.15,0.0002,100,0.01,995.798,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,303.15,0.0003,100,0.01,995.803,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,303.15,0.0004,100,0.01,995.809,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,303.15,0.0005,100,0.01,995.814,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,303.15,0.0006,100,0.01,995.817,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,303.15,0.0007,100,0.01,995.821,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,303.15,0.0008,100,0.01,995.826,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,303.15,0.0009,100,0.01,995.83,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,303.15,0.001,100,0.01,995.834,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
