setid,Mole fraction of 3-methyl-2-butanone,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MXRnN,0.0502,100,298.15,888.8,Lee et al. (2017),Density,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
MXRnN,0.1002,100,298.15,888.1,Lee et al. (2017),Density,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
MXRnN,0.1995,100,298.15,886.4,Lee et al. (2017),Density,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
MXRnN,0.2994,100,298.15,884.1,Lee et al. (2017),Density,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
MXRnN,0.4005,100,298.15,881.2,Lee et al. (2017),Density,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
MXRnN,0.5005,100,298.15,877.4,Lee et al. (2017),Density,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
MXRnN,0.6003,100,298.15,872.4,Lee et al. (2017),Density,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
MXRnN,0.7001,100,298.15,865.3,Lee et al. (2017),Density,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
MXRnN,0.8,100,298.15,854.5,Lee et al. (2017),Density,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
MXRnN,0.8999,100,298.15,836.3,Lee et al. (2017),Density,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
MXRnN,0.95,100,298.15,821.6,Lee et al. (2017),Density,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
