setid,"MolaLity of 1-butyl-4-methylpyridinium tetrafluoroborate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wFOnD,0.0122,101,298.15,997.506,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
wFOnD,0.0233,101,298.15,997.9,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
wFOnD,0.0429,101,298.15,998.595,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
wFOnD,0.0624,101,298.15,999.277,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
wFOnD,0.0704,101,298.15,999.555,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
wFOnD,0.0823,101,298.15,999.968,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
wFOnD,0.1012,101,298.15,1000.62,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
wFOnD,0.1207,101,298.15,1001.27,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
wFOnD,0.1394,101,298.15,1001.9,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
wFOnD,0.1514,101,298.15,1002.3,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
wFOnD,0.1607,101,298.15,1002.6,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
wFOnD,0.1775,101,298.15,1003.16,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
wFOnD,0.1942,101,298.15,1003.7,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
wFOnD,0.2141,101,298.15,1004.34,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
wFOnD,0.2309,101,298.15,1004.88,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
wFOnD,0.2498,101,298.15,1005.47,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
