setid,Mole fraction of methyl ethanoate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SAPpN,0,288.15,101,1046,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0,293.15,101,1042.6,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0,298.15,101,1039.2,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0,303.15,101,1035.9,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0,308.15,101,1032.5,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0,313.16,101,1029.1,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0,318.16,101,1025.7,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0,323.16,101,1022.3,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.0646,288.15,101,1040,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.0646,293.14,101,1036.4,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.0646,298.14,101,1032.8,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.0646,303.14,101,1029.1,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.0646,308.14,101,1025.6,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.0646,313.14,101,1022,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.0646,318.15,101,1018.3,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.0646,323.15,101,1014.6,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.1097,288.15,101,1036.1,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.1097,293.141,101,1032.5,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.1097,298.15,101,1028.9,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.1097,303.146,101,1025.2,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.1097,308.146,101,1021.6,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.1097,313.143,101,1018,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.1097,318.143,101,1014.3,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.1097,323.144,101,1010.6,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.2074,288.15,101,1027.3,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.2074,293.15,101,1024,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.2074,298.15,101,1019.6,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.2074,303.14,101,1015.8,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.2074,308.14,101,1013.3,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.2074,313.14,101,1009.2,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.2074,318.15,101,1006.1,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.2074,323.15,101,1001.4,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.3079,288.15,101,1021.1,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.3079,293.15,101,1017.3,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.3079,298.15,101,1013.2,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.3079,303.15,101,1009,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.3079,308.14,101,1004.8,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.3079,313.14,101,1000.6,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.3079,318.14,101,996.3,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.3079,323.15,101,992.3,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.3983,288.149,101,1015.6,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.3983,293.151,101,1011.4,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.3983,298.145,101,1007.1,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.3983,303.143,101,1002.8,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.3983,308.143,101,998.5,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.3983,313.143,101,994.2,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.3983,318.146,101,989.8,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.3983,323.146,101,985.3,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.4973,288.149,101,1011.5,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.4973,293.149,101,1007.2,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.4973,298.146,101,1002.9,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.4973,303.143,101,998.4,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.4973,308.142,101,992.6,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.4973,313.142,101,988.8,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.4973,318.15,101,983.8,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.4973,323.146,101,979.2,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.5928,288.149,101,1003,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.5928,293.148,101,998.4,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
SAPpN,0.5928,298.146,101,993.7,Alvarez et al. (2013),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
