setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PkAqV,278.15,0,101.3,818.33,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,278.15,0.00502,101.3,818.58,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,278.15,0.01098,101.3,818.87,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,278.15,0.0202,101.3,819.28,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,278.15,0.03008,101.3,819.69,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,278.15,0.04003,101.3,820.09,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,278.15,0.05028,101.3,820.48,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,278.15,0.06021,101.3,820.86,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,278.15,0.07557,101.3,821.37,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,278.15,0.09955,101.3,822.29,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,283.15,0,101.3,814.45,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,283.15,0.00502,101.3,814.71,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,283.15,0.01098,101.3,815,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,283.15,0.0202,101.3,815.43,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,283.15,0.03008,101.3,815.87,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,283.15,0.04003,101.3,816.29,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,283.15,0.05028,101.3,816.75,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,283.15,0.06021,101.3,817.04,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,283.15,0.07557,101.3,817.68,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,283.15,0.09955,101.3,818.41,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,288.15,0,101.3,810.5,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,288.15,0.00502,101.3,810.77,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,288.15,0.01098,101.3,811.07,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,288.15,0.0202,101.3,811.5,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,288.15,0.03008,101.3,811.97,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,288.15,0.04003,101.3,812.41,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,288.15,0.05028,101.3,812.85,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,288.15,0.06021,101.3,813.25,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,288.15,0.07557,101.3,813.85,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,288.15,0.09955,101.3,814.72,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,293.15,0,101.3,806.47,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,293.15,0.00502,101.3,806.74,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,293.15,0.01098,101.3,807.06,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,293.15,0.0202,101.3,807.5,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,293.15,0.03008,101.3,808,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
PkAqV,293.15,0.04003,101.3,808.44,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
