setid,"Temperature, K","Solvent: MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","MolaLity of N-acetyl-L-cysteine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hHpQL,288.15,0,0,100,999.1,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0,0.099,100,1003.53,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0,0.1981,100,1007.96,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0,0.2976,100,1012.41,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0,0.397,100,1016.85,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0,0.4992,100,1021.42,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0,0.599,100,1025.88,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0,0.69,100,1029.96,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.005,0,100,999.3,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.005,0.0993,100,1003.74,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.005,0.1967,100,1008.09,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.005,0.2986,100,1012.64,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.005,0.4004,100,1017.2,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.005,0.4978,100,1021.55,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.005,0.596,100,1025.94,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.005,0.698,100,1030.5,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.01,0,100,999.5,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.01,0.099,100,1003.93,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.01,0.1989,100,1008.39,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.01,0.2978,100,1012.8,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.01,0.3996,100,1017.35,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.01,0.4958,100,1021.65,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.01,0.599,100,1026.27,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.01,0.698,100,1030.68,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.03,0,100,1000.31,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.03,0.0991,100,1004.73,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.03,0.2002,100,1009.23,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.03,0.2975,100,1013.57,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.03,0.3975,100,1018.03,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
hHpQL,288.15,0.03,0.4993,100,1022.57,Kumar et al. (2017b),Density,Liquid,AAfTmT,CC(=O)N[C@@H](CS)C(=O)O,N-acetyl-L-cysteine,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
