setid,"Temperature, K","Mole fraction of 1,5-pentanediol","Pressure, kPa","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WwPRr,298.15,0.142,100,0.0002297,Turnaoglu et al. (2019b),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
WwPRr,298.15,0.995,100,0.0001075,Turnaoglu et al. (2019b),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
WwPRr,303.15,0.16,100,0.0002253,Turnaoglu et al. (2019b),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
WwPRr,303.15,0.992,100,0.0001086,Turnaoglu et al. (2019b),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
WwPRr,308.15,0.175,100,0.0002251,Turnaoglu et al. (2019b),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
WwPRr,308.15,0.987,100,0.0001088,Turnaoglu et al. (2019b),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
WwPRr,313.15,0.193,100,0.0002239,Turnaoglu et al. (2019b),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
WwPRr,313.15,0.982,100,0.0001095,Turnaoglu et al. (2019b),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
