setid,"Temperature, K","MolaLity of N-dodecyl-N,N-dimethylbenzenemethanaminium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oCPqX,293.15,0.04,101,1002,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,293.15,0.04,101,1002.1,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,293.15,0.04,101,1002.1,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,293.15,0.08,101,1001.8,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,293.15,0.08,101,1001.8,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,293.15,0.08,101,1001.8,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,293.15,0.08,101,1001.8,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,293.15,0.08,101,1001.8,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,298.15,0.04,101,999.7,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,298.15,0.04,101,999.7,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,298.15,0.04,101,999.7,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,298.15,0.04,101,999.7,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,298.15,0.08,101,999.4,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,298.15,0.08,101,999.4,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,298.15,0.08,101,999.4,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,298.15,0.08,101,999.4,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
