setid,Mole fraction of N-ethyl-N-isopropylpropan-2-aminium heptanoate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sxDZY,0,298.15,101.3,997,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
sxDZY,0.0998,298.15,101.3,966.3,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
sxDZY,0.198,298.15,101.3,936.2,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
sxDZY,0.299,298.15,101.3,913.6,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
sxDZY,0.4007,298.15,101.3,900.3,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
sxDZY,0.5007,298.15,101.3,889.9,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
sxDZY,0.5941,298.15,101.3,884,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
sxDZY,0.6913,298.15,101.3,877.2,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
sxDZY,0.7896,298.15,101.3,872.6,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
sxDZY,0.9014,298.15,101.3,869.5,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
sxDZY,1,298.15,101.3,866.5,Jacquemin et al. (2011),Density,Liquid,AADYJk,O,water,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
