setid,"MolaLity of tetrapropylammonium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qDtYU,0.01298,101,298.15,1199.08,Zhao et al. (2003b),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
qDtYU,0.02428,101,298.15,1198.84,Zhao et al. (2003b),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
qDtYU,0.0295,101,298.15,1198.74,Zhao et al. (2003b),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
qDtYU,0.04445,101,298.15,1198.43,Zhao et al. (2003b),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
qDtYU,0.06718,101,298.15,1197.97,Zhao et al. (2003b),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
qDtYU,0.07557,101,298.15,1197.8,Zhao et al. (2003b),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
qDtYU,0.1005,101,298.15,1197.29,Zhao et al. (2003b),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
