setid,"Temperature, K","Mole fraction of 1-butyl-2,3-dimethylimidazolium tetrafluoroborate",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MFSUK,293.15,0.1859,0.7077,100,1172.4,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
MFSUK,293.15,0.21,0.6803,100,1169.4,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
MFSUK,293.15,0.2223,0.6663,100,1167.9,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
MFSUK,293.15,0.2348,0.6521,100,1166.4,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
MFSUK,293.15,0.2576,0.6254,100,1163.7,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
MFSUK,293.15,0.2784,0.5993,100,1161.1,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
MFSUK,293.15,0.2996,0.5767,100,1159.5,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
MFSUK,293.15,0.3282,0.5483,100,1158,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
MFSUK,293.15,0.3461,0.5279,100,1157.1,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
MFSUK,293.15,0.3682,0.5034,100,1156.4,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
