setid,"Temperature, K","Mole fraction of S-hexyl-1,1,3,3-tetramethylthiouronium bis(trifluoromethylsulfonyl)imide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VWvRN,283.15,0.251,100,1431,Fillion and Brennecke (2017),Density,Liquid,ABchmo,CCCC[n+]1cccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-2-methylpyrazolium bis(trifluoromethylsulfonyl)imide,ABrjHT,CCCCCCSC(N(C)C)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"S-hexyl-1,1,3,3-tetramethylthiouronium bis(trifluoromethylsulfonyl)imide",,,
VWvRN,283.15,0.502,100,1400,Fillion and Brennecke (2017),Density,Liquid,ABchmo,CCCC[n+]1cccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-2-methylpyrazolium bis(trifluoromethylsulfonyl)imide,ABrjHT,CCCCCCSC(N(C)C)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"S-hexyl-1,1,3,3-tetramethylthiouronium bis(trifluoromethylsulfonyl)imide",,,
VWvRN,283.15,0.748,100,1376,Fillion and Brennecke (2017),Density,Liquid,ABchmo,CCCC[n+]1cccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-2-methylpyrazolium bis(trifluoromethylsulfonyl)imide,ABrjHT,CCCCCCSC(N(C)C)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"S-hexyl-1,1,3,3-tetramethylthiouronium bis(trifluoromethylsulfonyl)imide",,,
VWvRN,288.15,0.251,100,1427,Fillion and Brennecke (2017),Density,Liquid,ABchmo,CCCC[n+]1cccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-2-methylpyrazolium bis(trifluoromethylsulfonyl)imide,ABrjHT,CCCCCCSC(N(C)C)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"S-hexyl-1,1,3,3-tetramethylthiouronium bis(trifluoromethylsulfonyl)imide",,,
VWvRN,288.15,0.502,100,1396,Fillion and Brennecke (2017),Density,Liquid,ABchmo,CCCC[n+]1cccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-2-methylpyrazolium bis(trifluoromethylsulfonyl)imide,ABrjHT,CCCCCCSC(N(C)C)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"S-hexyl-1,1,3,3-tetramethylthiouronium bis(trifluoromethylsulfonyl)imide",,,
VWvRN,288.15,0.748,100,1371,Fillion and Brennecke (2017),Density,Liquid,ABchmo,CCCC[n+]1cccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-2-methylpyrazolium bis(trifluoromethylsulfonyl)imide,ABrjHT,CCCCCCSC(N(C)C)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"S-hexyl-1,1,3,3-tetramethylthiouronium bis(trifluoromethylsulfonyl)imide",,,
VWvRN,293.15,0.251,100,1422,Fillion and Brennecke (2017),Density,Liquid,ABchmo,CCCC[n+]1cccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-2-methylpyrazolium bis(trifluoromethylsulfonyl)imide,ABrjHT,CCCCCCSC(N(C)C)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"S-hexyl-1,1,3,3-tetramethylthiouronium bis(trifluoromethylsulfonyl)imide",,,
VWvRN,293.15,0.502,100,1391,Fillion and Brennecke (2017),Density,Liquid,ABchmo,CCCC[n+]1cccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-2-methylpyrazolium bis(trifluoromethylsulfonyl)imide,ABrjHT,CCCCCCSC(N(C)C)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"S-hexyl-1,1,3,3-tetramethylthiouronium bis(trifluoromethylsulfonyl)imide",,,
VWvRN,293.15,0.748,100,1367,Fillion and Brennecke (2017),Density,Liquid,ABchmo,CCCC[n+]1cccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-2-methylpyrazolium bis(trifluoromethylsulfonyl)imide,ABrjHT,CCCCCCSC(N(C)C)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"S-hexyl-1,1,3,3-tetramethylthiouronium bis(trifluoromethylsulfonyl)imide",,,
VWvRN,295.15,0.251,100,1420,Fillion and Brennecke (2017),Density,Liquid,ABchmo,CCCC[n+]1cccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-2-methylpyrazolium bis(trifluoromethylsulfonyl)imide,ABrjHT,CCCCCCSC(N(C)C)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"S-hexyl-1,1,3,3-tetramethylthiouronium bis(trifluoromethylsulfonyl)imide",,,
