setid,"Temperature, K","MolaLity of L-leucine, mol/kg","Solvent: MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NUkcm,288.15,0,0,100,999.1,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0,0.005,100,999.5,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0,0.01,100,999.6,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0,0.03,100,1000.6,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0,0.05,100,1001.5,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.01001,0,100,999.4,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.01018,0.05,100,1001.8,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.01025,0.005,100,999.7,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.01032,0.03,100,1000.8,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.01085,0.01,100,999.9,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.02015,0,100,999.6,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.02035,0.05,100,1002,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.02055,0.03,100,1001,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.02075,0.01,100,1000.1,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.02115,0.005,100,1000,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.02905,0.005,100,1000.2,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.02978,0.05,100,1002.2,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.02989,0.03,100,1001.3,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.02995,0,100,999.8,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.03082,0.01,100,1000.4,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.03929,0.05,100,1002.4,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.03965,0.01,100,1000.6,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.03982,0.03,100,1001.5,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.04006,0,100,1000.1,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.04014,0.005,100,1000.4,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.0496,0.005,100,1000.6,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.04976,0.05,100,1002.7,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.04992,0,100,1000.3,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.05004,0.01,100,1000.9,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.05037,0.03,100,1001.7,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.059,0.01,100,1001.1,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
NUkcm,288.15,0.0597,0.05,100,1002.9,Kumar et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
