setid,Weight fraction of lithium nitrate,Weight fraction of 1-ethyl-3-methylimidazolium diethyl phosphate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KUIVq,0.4125,0.1375,303.15,100,1308,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.4125,0.1375,313.15,100,1300,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.4125,0.1375,323.15,100,1294,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.4125,0.1375,333.15,100,1286,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.4125,0.1375,343.15,100,1279,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.4125,0.1375,353.15,100,1271,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.4125,0.1375,363.15,100,1264,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.4125,0.1375,373.15,100,1256,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.45,0.15,303.15,100,1343,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.45,0.15,313.15,100,1335,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
