setid,"Temperature, K",Weight fraction of methyltriphenylphosphonium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SGGQa,293.15,0,101,1040.3,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,293.15,0.1578,101,1086.8,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,293.15,0.2306,101,1106.7,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,293.15,0.2998,101,1124.1,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,298.15,0,101,1036.4,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,298.15,0.1578,101,1083.1,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,298.15,0.2306,101,1103,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,298.15,0.2998,101,1120.4,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,303.15,0,101,1032.5,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,303.15,0.1578,101,1079.3,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
