setid,"MolaLity of 1-ethyl-3-methylimidazolium L-alaninate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VaYpj,0,101,298.15,997.047,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAmQJQ,CC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-ethyl-3-methylimidazolium L-alaninate,,,
VaYpj,0.01617,101,298.15,997.578,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAmQJQ,CC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-ethyl-3-methylimidazolium L-alaninate,,,
VaYpj,0.02662,101,298.15,997.914,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAmQJQ,CC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-ethyl-3-methylimidazolium L-alaninate,,,
VaYpj,0.04527,101,298.15,998.517,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAmQJQ,CC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-ethyl-3-methylimidazolium L-alaninate,,,
VaYpj,0.09137,101,298.15,999.967,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAmQJQ,CC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-ethyl-3-methylimidazolium L-alaninate,,,
VaYpj,0.12318,101,298.15,1000.95,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAmQJQ,CC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-ethyl-3-methylimidazolium L-alaninate,,,
VaYpj,0.16387,101,298.15,1002.2,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAmQJQ,CC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-ethyl-3-methylimidazolium L-alaninate,,,
VaYpj,0.18346,101,298.15,1002.78,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAmQJQ,CC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-ethyl-3-methylimidazolium L-alaninate,,,
VaYpj,0.23883,101,298.15,1004.43,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAmQJQ,CC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-ethyl-3-methylimidazolium L-alaninate,,,
VaYpj,0.29812,101,298.15,1006.12,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAmQJQ,CC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-ethyl-3-methylimidazolium L-alaninate,,,
VaYpj,0.36847,101,298.15,1008.13,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAmQJQ,CC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-ethyl-3-methylimidazolium L-alaninate,,,
VaYpj,0.4187,101,298.15,1009.48,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAmQJQ,CC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-ethyl-3-methylimidazolium L-alaninate,,,
VaYpj,0.50125,101,298.15,1011.79,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAmQJQ,CC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-ethyl-3-methylimidazolium L-alaninate,,,
VaYpj,0.56143,101,298.15,1013.4,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAmQJQ,CC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-ethyl-3-methylimidazolium L-alaninate,,,
VaYpj,0.62514,101,298.15,1015.1,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAmQJQ,CC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-ethyl-3-methylimidazolium L-alaninate,,,
