setid,Mole fraction of 1-butyl-3-methylimidazolium octyl sulfate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rckQE,0.0627,298.15,101,852.6,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
rckQE,0.178,298.15,101,892.4,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
rckQE,0.2546,298.15,101,915.2,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
rckQE,0.335,298.15,101,936.5,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
rckQE,0.4269,298.15,101,958.8,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
rckQE,0.5432,298.15,101,984.6,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
rckQE,0.6586,298.15,101,1008.3,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
rckQE,0.7504,298.15,101,1025.9,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
rckQE,0.8404,298.15,101,1041.9,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
rckQE,0.9723,298.15,101,1064.1,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
