setid,"Temperature, K",Mole fraction of 1-methyl-3-octylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nEuoW,298.15,0,101,1109.8,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
nEuoW,298.15,0.0077,101,1106.07,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
nEuoW,298.15,0.0589,101,1085.93,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
nEuoW,298.15,0.119,101,1068.7,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
nEuoW,298.15,0.2112,101,1050.79,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
nEuoW,298.15,0.2985,101,1039.53,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
nEuoW,298.15,0.4021,101,1030.4,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
nEuoW,298.15,0.5118,101,1023.63,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
nEuoW,298.15,0.6041,101,1019.49,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
nEuoW,298.15,0.6999,101,1016.21,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
