setid,"Temperature, K","MolaLity of octyl trimethyl ammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VJTam,293.15,0,101,998.209,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,293.15,0.04535,101,999.46,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,293.15,0.09122,101,1000.72,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,293.15,0.12226,101,1001.54,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,293.15,0.14439,101,1002.14,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,293.15,0.17592,101,1002.97,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,293.15,0.1958,101,1003.52,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,293.15,0.23376,101,1004.58,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,293.15,0.26209,101,1005.29,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,293.15,0.27732,101,1005.65,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,293.15,0.30027,101,1006.33,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,298.15,0,101,997.043,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
