setid,"Temperature, K","MolaLity of 1-(2-carboxyethyl)-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cYFJA,293.15,0.07548,100,1001.52,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,293.15,0.1,100,1002.61,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,293.15,0.12527,100,1003.73,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,293.15,0.15246,100,1004.91,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,293.15,0.20013,100,1007.02,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,293.15,0.25196,100,1009.18,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,293.15,0.30123,100,1011.35,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,293.15,0.34988,100,1013.25,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,293.15,0.40075,100,1015.43,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,298.15,0.07548,100,1000.28,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,298.15,0.1,100,1001.35,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,298.15,0.12527,100,1002.43,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,298.15,0.15246,100,1003.58,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,298.15,0.20013,100,1005.67,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,298.15,0.25196,100,1007.86,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,298.15,0.30123,100,1009.93,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,298.15,0.34988,100,1011.83,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,298.15,0.40075,100,1013.95,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,303.15,0.07548,100,998.77,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,303.15,0.1,100,999.82,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,303.15,0.12527,100,1000.87,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,303.15,0.15246,100,1001.97,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,303.15,0.20013,100,1004.08,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,303.15,0.25196,100,1006.12,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,303.15,0.30123,100,1008.26,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,303.15,0.34988,100,1010.08,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,303.15,0.40075,100,1012.23,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,308.15,0.07548,100,997,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,308.15,0.1,100,998.01,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,308.15,0.12527,100,999.07,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,308.15,0.15246,100,1000.13,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,308.15,0.20013,100,1002.23,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,308.15,0.25196,100,1004.21,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,308.15,0.30123,100,1006.41,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
