setid,"MolaLity of 1-methyl-3-octylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zxmsj,0,288.15,101,795.934,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0,293.15,101,791.24,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0,298.15,101,786.531,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0,303.15,101,781.802,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0,308.15,101,777.053,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0073,288.15,101,796.547,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0073,293.15,101,791.856,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0073,298.15,101,787.154,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0073,303.15,101,782.428,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0073,308.15,101,777.682,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0219,288.15,101,797.742,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0219,293.15,101,793.057,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0219,298.15,101,788.36,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0219,303.15,101,783.642,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0219,308.15,101,778.902,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0292,288.15,101,798.327,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0292,293.15,101,793.647,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0292,298.15,101,788.951,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0292,303.15,101,784.237,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0292,308.15,101,779.503,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0367,288.15,101,798.911,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0367,293.15,101,794.233,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0367,298.15,101,789.541,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0367,303.15,101,784.828,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0367,308.15,101,780.099,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0591,288.15,101,800.663,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0591,293.15,101,795.993,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
zxmsj,0.0591,298.15,101,791.309,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
