setid,Mole fraction of triethylammonium acetate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mKRWf,0,101,298.15,997,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.0288,101,298.15,1001.2,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.042,101,298.15,1002.7,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.0638,101,298.15,1004.6,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.0847,101,298.15,1006.1,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.1016,101,298.15,1007.1,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.1457,101,298.15,1009.1,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.2125,101,298.15,1011.1,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.2349,101,298.15,1011.6,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.2904,101,298.15,1012.6,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.3254,101,298.15,1013,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.367,101,298.15,1013.5,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.4174,101,298.15,1014,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.5162,101,298.15,1014.6,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.5579,101,298.15,1014.8,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.6055,101,298.15,1015,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.6604,101,298.15,1015.2,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.7243,101,298.15,1015.3,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.7996,101,298.15,1015.5,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,0.8899,101,298.15,1015.7,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
mKRWf,1,101,298.15,1015.9,Umapathi et al. (2014),Density,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,
