setid,"MolaLity of 1-methyl-3-octylimidazolium chloride, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DDXOR,0.0127,298.15,101,997.14,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
DDXOR,0.017,298.15,101,997.17,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
DDXOR,0.0272,298.15,101,997.24,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
DDXOR,0.039,298.15,101,997.32,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
DDXOR,0.0555,298.15,101,997.43,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
DDXOR,0.0693,298.15,101,997.52,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
DDXOR,0.0892,298.15,101,997.65,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
DDXOR,0.1002,298.15,101,997.72,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
DDXOR,0.1179,298.15,101,997.83,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
DDXOR,0.1353,298.15,101,997.94,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
DDXOR,0.1679,298.15,101,998.14,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
DDXOR,0.183,298.15,101,998.23,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
DDXOR,0.1948,298.15,101,998.3,Singh and Kumar (2011),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
