setid,Mole fraction of tetrabutylammonium perfluorobutanesulfonate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LnxwQ,0.333,293.15,100,1383.6,Castro et al. (2020),Density,Liquid,ACAHIE,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tetrabutylammonium perfluorobutanesulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
LnxwQ,0.333,293.15,100,1394.6,Castro et al. (2020),Density,Liquid,ACAHIE,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tetrabutylammonium perfluorobutanesulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
LnxwQ,0.333,293.15,100,1406.3,Castro et al. (2020),Density,Liquid,ACAHIE,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tetrabutylammonium perfluorobutanesulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
LnxwQ,0.333,293.15,100,1419.1,Castro et al. (2020),Density,Liquid,ACAHIE,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tetrabutylammonium perfluorobutanesulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
LnxwQ,0.5,293.15,100,1351.7,Castro et al. (2020),Density,Liquid,ACAHIE,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tetrabutylammonium perfluorobutanesulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
LnxwQ,0.5,303.15,100,1341.4,Castro et al. (2020),Density,Liquid,ACAHIE,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tetrabutylammonium perfluorobutanesulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
LnxwQ,0.5,313.15,100,1331.1,Castro et al. (2020),Density,Liquid,ACAHIE,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tetrabutylammonium perfluorobutanesulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
LnxwQ,0.5,323.15,100,1320.8,Castro et al. (2020),Density,Liquid,ACAHIE,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tetrabutylammonium perfluorobutanesulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
LnxwQ,0.667,293.15,100,1306.6,Castro et al. (2020),Density,Liquid,ACAHIE,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tetrabutylammonium perfluorobutanesulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
LnxwQ,0.667,303.15,100,1298.5,Castro et al. (2020),Density,Liquid,ACAHIE,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tetrabutylammonium perfluorobutanesulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
LnxwQ,0.667,313.15,100,1289.3,Castro et al. (2020),Density,Liquid,ACAHIE,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tetrabutylammonium perfluorobutanesulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
LnxwQ,0.667,323.15,100,1279.5,Castro et al. (2020),Density,Liquid,ACAHIE,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tetrabutylammonium perfluorobutanesulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
