setid,Mole fraction of methanol,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ppxcD,0,100,293,1108,Ando et al. (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAGIBL,CO,methanol,,,
ppxcD,0.2,100,293,1096,Ando et al. (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAGIBL,CO,methanol,,,
ppxcD,0.4,100,293,1078,Ando et al. (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAGIBL,CO,methanol,,,
ppxcD,0.6,100,293,1049,Ando et al. (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAGIBL,CO,methanol,,,
ppxcD,0.7,100,293,1026,Ando et al. (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAGIBL,CO,methanol,,,
ppxcD,0.8,100,293,990,Ando et al. (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAGIBL,CO,methanol,,,
ppxcD,0.9,100,293,928,Ando et al. (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAGIBL,CO,methanol,,,
ppxcD,0.95,100,293,875,Ando et al. (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAGIBL,CO,methanol,,,
ppxcD,0.97,100,293,847,Ando et al. (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAGIBL,CO,methanol,,,
ppxcD,0.99,100,293,812,Ando et al. (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAGIBL,CO,methanol,,,
ppxcD,1,100,293,792,Ando et al. (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAGIBL,CO,methanol,,,
