setid,"Temperature, K",Mole fraction of 2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YmpbI,298.15,0,101,873.61,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,298.15,0.1039,101,1034.4,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,298.15,0.1857,101,1111.01,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,298.15,0.2557,101,1157.76,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,298.15,0.327,101,1194.59,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,298.15,0.346,101,1202.85,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,298.15,0.4337,101,1234.88,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,298.15,0.5321,101,1261.26,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,298.15,0.668,101,1289,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,298.15,0.705,101,1294.79,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,298.15,0.8495,101,1314.6,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,298.15,0.9088,101,1321.8,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,298.15,1,101,1331.5,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,308.15,0,101,862.87,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,308.15,0.1039,101,1024.5,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,308.15,0.1857,101,1101.59,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,308.15,0.2557,101,1148.57,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,308.15,0.327,101,1185.57,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,308.15,0.346,101,1193.94,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,308.15,0.4337,101,1226.02,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,308.15,0.5321,101,1252.51,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,308.15,0.668,101,1280.49,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,308.15,0.705,101,1286.08,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,308.15,0.8495,101,1305.9,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,308.15,0.9088,101,1313.1,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,308.15,1,101,1322.8,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,318.15,0,101,852.07,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,318.15,0.1039,101,1014.7,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,318.15,0.1857,101,1092.18,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
YmpbI,318.15,0.2557,101,1139.4,Domanska et al. (2013e),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
