setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NRaUr,298.15,0,100,894.541,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
NRaUr,298.15,0.0991,100,981.2,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
NRaUr,298.15,0.1916,100,1046.3,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
NRaUr,298.15,0.3056,100,1110,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
NRaUr,298.15,0.3978,100,1151.43,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
NRaUr,298.15,0.5067,100,1188.79,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
NRaUr,298.15,0.6095,100,1219.13,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
NRaUr,298.15,0.7138,100,1244.8,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
NRaUr,298.15,0.7987,100,1262.9,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
NRaUr,298.15,0.8932,100,1280.1,Anwar and Riyazuddeen (2016),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAQxSq,CCOC(C)=O,ethyl acetate,,,
