setid,"Temperature, K","MolaLity of sodium dodecyl sulfate, mol/kg","Pressure, kPa","Solvent: MolaLity of tetrabutylammonium acetate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qilMs,293.15,0.0001,100,0.01,998.634,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qilMs,293.15,0.0002,100,0.01,998.639,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qilMs,293.15,0.0003,100,0.01,998.646,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qilMs,293.15,0.0004,100,0.01,998.65,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qilMs,293.15,0.0005,100,0.01,998.653,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qilMs,293.15,0.0006,100,0.01,998.657,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qilMs,293.15,0.0007,100,0.01,998.661,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qilMs,293.15,0.0008,100,0.01,998.664,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qilMs,293.15,0.0009,100,0.01,998.669,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
qilMs,293.15,0.001,100,0.01,998.673,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
