setid,Mole fraction of 1-butyl-3-methylpyridinium tetrafluoroborate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bSjlP,0.2397,101,298.15,1670.8,Navas et al. (2011),Density,Liquid,AAmqoP,BrCCCBr,"1,3-dibromopropane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
bSjlP,0.3099,101,298.15,1602.9,Navas et al. (2011),Density,Liquid,AAmqoP,BrCCCBr,"1,3-dibromopropane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
bSjlP,0.3683,101,298.15,1551.2,Navas et al. (2011),Density,Liquid,AAmqoP,BrCCCBr,"1,3-dibromopropane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
bSjlP,0.4233,101,298.15,1506.3,Navas et al. (2011),Density,Liquid,AAmqoP,BrCCCBr,"1,3-dibromopropane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
bSjlP,0.484,101,298.15,1460.5,Navas et al. (2011),Density,Liquid,AAmqoP,BrCCCBr,"1,3-dibromopropane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
bSjlP,0.55,101,298.15,1414.8,Navas et al. (2011),Density,Liquid,AAmqoP,BrCCCBr,"1,3-dibromopropane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
bSjlP,0.6232,101,298.15,1368.32,Navas et al. (2011),Density,Liquid,AAmqoP,BrCCCBr,"1,3-dibromopropane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
bSjlP,0.6961,101,298.15,1325.84,Navas et al. (2011),Density,Liquid,AAmqoP,BrCCCBr,"1,3-dibromopropane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
bSjlP,0.7881,101,298.15,1277.32,Navas et al. (2011),Density,Liquid,AAmqoP,BrCCCBr,"1,3-dibromopropane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
bSjlP,0.8825,101,298.15,1232.61,Navas et al. (2011),Density,Liquid,AAmqoP,BrCCCBr,"1,3-dibromopropane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
bSjlP,0.93,101,298.15,1211.91,Navas et al. (2011),Density,Liquid,AAmqoP,BrCCCBr,"1,3-dibromopropane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
bSjlP,0.9541,101,298.15,1201.84,Navas et al. (2011),Density,Liquid,AAmqoP,BrCCCBr,"1,3-dibromopropane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
