setid,"Temperature, K","MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JqfRX,288.15,0.0095,84.5,999.502,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,288.15,0.01379,84.5,999.684,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,288.15,0.01652,84.5,999.799,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,288.15,0.02179,84.5,1000.02,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,288.15,0.02615,84.5,1000.2,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,288.15,0.03106,84.5,1000.41,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,288.15,0.03338,84.5,1000.51,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,288.15,0.03819,84.5,1000.71,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,288.15,0.0406,84.5,1000.81,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,288.15,0.04332,84.5,1000.92,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,288.15,0.04614,84.5,1001.03,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,288.15,0.05515,84.5,1001.35,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,288.15,0.06396,84.5,1001.66,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,288.15,0.07815,84.5,1002.15,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,288.15,0.12199,84.5,1003.65,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,288.15,0.17259,84.5,1005.33,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,288.15,0.22474,84.5,1007.03,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
