setid,Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ivtol,0.0199,101,298.15,911.565,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
ivtol,0.0376,101,298.15,936.57,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
ivtol,0.0737,101,298.15,979.097,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
ivtol,0.15,101,298.15,1055.63,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
ivtol,0.2003,101,298.15,1095.84,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
ivtol,0.2486,101,298.15,1129.41,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
ivtol,0.3004,101,298.15,1159.97,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
ivtol,0.3491,101,298.15,1185.7,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
ivtol,0.4634,101,298.15,1235.91,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
ivtol,0.5808,101,298.15,1276.69,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
ivtol,0.6941,101,298.15,1306.09,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
ivtol,0.7996,101,298.15,1329.2,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
ivtol,0.8991,101,298.15,1348.1,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
