setid,"Temperature, K","Pressure, kPa",Mole fraction of dimethyl sulfoxide,Mole fraction of water,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KmsPN,293.15,100,0,0.013,1149.9,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,100,0.048,0.015,1149.3,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,100,0.098,0.016,1148.1,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,100,0.147,0.014,1150.1,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,100,0.248,0.006,1150.4,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,100,0.496,0.011,1144.9,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,100,0.729,0.021,1129,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,100,0.893,0.008,1115.3,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,100,0.999,0.001,1098.5,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,500,0,0.013,1150,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,500,0.048,0.015,1149.8,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,500,0.098,0.016,1148.2,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,500,0.147,0.014,1150.3,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,500,0.248,0.006,1150.5,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,500,0.496,0.011,1145.1,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,500,0.729,0.021,1129.2,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,500,0.893,0.008,1115.4,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,500,0.999,0.001,1099.8,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,1000,0,0.013,1150.2,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,1000,0.048,0.015,1149.9,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,1000,0.098,0.016,1148.4,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,1000,0.147,0.014,1150.4,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,1000,0.248,0.006,1150.7,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,1000,0.496,0.011,1145.3,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,1000,0.729,0.021,1129.3,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,1000,0.893,0.008,1115.8,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,1000,0.999,0.001,1100.1,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,2000,0,0.013,1150.5,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,2000,0.048,0.015,1150,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,2000,0.098,0.016,1148.7,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,2000,0.147,0.014,1150.8,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,2000,0.248,0.006,1151.2,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,2000,0.496,0.011,1145.7,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,2000,0.729,0.021,1129.8,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,2000,0.893,0.008,1116.2,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,2000,0.999,0.001,1100.7,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,3000,0,0.013,1150.7,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,3000,0.048,0.015,1150.2,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,3000,0.098,0.016,1148.9,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,3000,0.147,0.014,1151,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,3000,0.248,0.006,1151.4,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,3000,0.496,0.011,1146,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,3000,0.729,0.021,1130,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,3000,0.893,0.008,1116.6,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,3000,0.999,0.001,1101.3,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,4000,0,0.013,1151,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,4000,0.048,0.015,1150.5,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,4000,0.098,0.016,1149.1,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,4000,0.147,0.014,1151.3,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
KmsPN,293.15,4000,0.248,0.006,1151.7,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AAPByN,CS(C)=O,dimethyl sulfoxide,AADYJk,O,water
