setid,"Temperature, K","MolaLity of glycylglycine, mol/kg","Pressure, kPa","Solvent: MolaLity of sodium dodecyl sulfate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lwYjZ,298.15,0,101.325,0.05,999.198,Yan et al. (2010a),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
lwYjZ,298.15,0.02108,101.325,0.05,1000.37,Yan et al. (2010a),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
lwYjZ,298.15,0.0412,101.325,0.05,1001.49,Yan et al. (2010a),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
lwYjZ,298.15,0.06258,101.325,0.05,1002.66,Yan et al. (2010a),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
lwYjZ,298.15,0.08221,101.325,0.05,1003.73,Yan et al. (2010a),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
lwYjZ,298.15,0.1065,101.325,0.05,1005.04,Yan et al. (2010a),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
lwYjZ,298.15,0.1575,101.325,0.05,1007.77,Yan et al. (2010a),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
lwYjZ,298.15,0.2179,101.325,0.05,1010.98,Yan et al. (2010a),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
lwYjZ,298.15,0.2618,101.325,0.05,1013.29,Yan et al. (2010a),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
lwYjZ,298.15,0.3049,101.325,0.05,1015.56,Yan et al. (2010a),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
