setid,"Temperature, K",Mole fraction of 3-(3-cyanopropyl)-1-methylimidazolium bis(fluorosulfonyl)amide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eVqzW,288.15,0,101,787.3,Zhang et al. (2018f),Density,Liquid,ABLbxS,C[n+]1ccn(CCCC#N)c1.O=S(=O)(F)[N-]S(=O)(=O)F,3-(3-cyanopropyl)-1-methylimidazolium bis(fluorosulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
eVqzW,288.15,0.0977,101,1030.3,Zhang et al. (2018f),Density,Liquid,ABLbxS,C[n+]1ccn(CCCC#N)c1.O=S(=O)(F)[N-]S(=O)(=O)F,3-(3-cyanopropyl)-1-methylimidazolium bis(fluorosulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
eVqzW,288.15,0.1994,101,1178.9,Zhang et al. (2018f),Density,Liquid,ABLbxS,C[n+]1ccn(CCCC#N)c1.O=S(=O)(F)[N-]S(=O)(=O)F,3-(3-cyanopropyl)-1-methylimidazolium bis(fluorosulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
eVqzW,288.15,0.2997,101,1273.8,Zhang et al. (2018f),Density,Liquid,ABLbxS,C[n+]1ccn(CCCC#N)c1.O=S(=O)(F)[N-]S(=O)(=O)F,3-(3-cyanopropyl)-1-methylimidazolium bis(fluorosulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
eVqzW,288.15,0.4003,101,1341,Zhang et al. (2018f),Density,Liquid,ABLbxS,C[n+]1ccn(CCCC#N)c1.O=S(=O)(F)[N-]S(=O)(=O)F,3-(3-cyanopropyl)-1-methylimidazolium bis(fluorosulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
eVqzW,288.15,0.5007,101,1391.9,Zhang et al. (2018f),Density,Liquid,ABLbxS,C[n+]1ccn(CCCC#N)c1.O=S(=O)(F)[N-]S(=O)(=O)F,3-(3-cyanopropyl)-1-methylimidazolium bis(fluorosulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
eVqzW,288.15,0.5945,101,1428.8,Zhang et al. (2018f),Density,Liquid,ABLbxS,C[n+]1ccn(CCCC#N)c1.O=S(=O)(F)[N-]S(=O)(=O)F,3-(3-cyanopropyl)-1-methylimidazolium bis(fluorosulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
eVqzW,288.15,0.6987,101,1460.4,Zhang et al. (2018f),Density,Liquid,ABLbxS,C[n+]1ccn(CCCC#N)c1.O=S(=O)(F)[N-]S(=O)(=O)F,3-(3-cyanopropyl)-1-methylimidazolium bis(fluorosulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
eVqzW,288.15,0.792,101,1483,Zhang et al. (2018f),Density,Liquid,ABLbxS,C[n+]1ccn(CCCC#N)c1.O=S(=O)(F)[N-]S(=O)(=O)F,3-(3-cyanopropyl)-1-methylimidazolium bis(fluorosulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
eVqzW,288.15,0.8983,101,1503.5,Zhang et al. (2018f),Density,Liquid,ABLbxS,C[n+]1ccn(CCCC#N)c1.O=S(=O)(F)[N-]S(=O)(=O)F,3-(3-cyanopropyl)-1-methylimidazolium bis(fluorosulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
eVqzW,288.15,1,101,1520.5,Zhang et al. (2018f),Density,Liquid,ABLbxS,C[n+]1ccn(CCCC#N)c1.O=S(=O)(F)[N-]S(=O)(=O)F,3-(3-cyanopropyl)-1-methylimidazolium bis(fluorosulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
eVqzW,293.15,0,101,782,Zhang et al. (2018f),Density,Liquid,ABLbxS,C[n+]1ccn(CCCC#N)c1.O=S(=O)(F)[N-]S(=O)(=O)F,3-(3-cyanopropyl)-1-methylimidazolium bis(fluorosulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
