setid,Weight fraction of butanoic acid,Weight fraction of water,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HtfnE,0,0.162,100,298,900,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.0216,0.132,100,298,900,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.0382,0.126,100,298,900,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.0762,0.101,100,298,899,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.109,0.0746,100,298,899,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.129,0.0712,100,298,900,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.163,0.0565,100,298,901,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.169,0.05,100,298,901,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.206,0.0408,100,298,902,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.226,0.0449,100,298,905,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.231,0.0361,100,298,905,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.262,0.0428,100,298,909,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.279,0.0388,100,298,909,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.327,0.0393,100,298,913,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.377,0.0468,100,298,919,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.378,0.0404,100,298,918,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.419,0.0506,100,298,922,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.47,0.049,100,298,927,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.509,0.0581,100,298,931,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
HtfnE,0.534,0.0672,100,298,934,Martk et al. (2019),Density,Liquid,AAQxlj,CCCC(=O)O,butanoic acid,AADYJk,O,water,ACVzmt,CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,trihexyltetradecylphosphonium decanoate
