setid,"Temperature, K","MolaLity of sodium trifluoroacetate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eEYLF,288.15,0.03984,101,1002.26,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,288.15,0.05464,101,1003.44,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,288.15,0.07371,101,1004.94,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,288.15,0.09158,101,1006.34,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,288.15,0.10932,101,1007.74,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,288.15,0.12842,101,1009.24,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,288.15,0.16365,101,1011.99,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,288.15,0.18298,101,1013.48,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,288.15,0.20326,101,1015.05,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,298.15,0.04313,101,1000.41,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,298.15,0.06858,101,1002.38,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,298.15,0.09006,101,1004.05,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,298.15,0.09747,101,1004.62,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,298.15,0.10799,101,1005.43,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,298.15,0.1193,101,1006.3,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,298.15,0.13269,101,1007.33,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,298.15,0.143,101,1008.12,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,298.15,0.1496,101,1008.62,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,298.15,0.17008,101,1010.17,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,298.15,0.19055,101,1011.74,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,298.15,0.21039,101,1013.25,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,298.15,0.23199,101,1014.88,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,313.15,0.06016,101,996.801,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
