setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,Mole fraction of 2-aminoethan-1-ol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rHWwK,293.15,0.3952,0.1777,101,1164.6,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.3956,0.0593,101,1170.6,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.4921,0.4425,101,1160.1,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.4926,0.3444,101,1165.1,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.4927,0.2461,101,1170.3,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.493,0.1478,101,1175.1,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.4936,0.0493,101,1179.7,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.5899,0.275,101,1175.9,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.59,0.3533,101,1172,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.5903,0.1966,101,1179.8,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.5907,0.118,101,1183.2,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.5908,0.0394,101,1187,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.6867,0.2648,101,1181.9,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.6871,0.2059,101,1184.9,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.6876,0.0295,101,1192.7,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.6877,0.0883,101,1190.1,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.6877,0.147,101,1187.4,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.7837,0.1764,101,1190.6,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.7841,0.137,101,1192.5,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.7845,0.0978,101,1193.8,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.7846,0.0587,101,1195.9,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.7847,0.0198,101,1197.3,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.8798,0.0879,101,1198.3,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.8803,0.0685,101,1199.2,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.8804,0.049,101,1199.8,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.8808,0.0098,101,1201.7,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,293.15,0.8809,0.0293,101,1200.7,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
