setid,Mole fraction of N-ethyl-N-isopropylpropan-2-aminium heptanoate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Xhqlr,0,298.15,101.3,768.6,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
Xhqlr,0.1016,298.15,101.3,820.6,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
Xhqlr,0.2003,298.15,101.3,840.8,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
Xhqlr,0.3046,298.15,101.3,849.7,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
Xhqlr,0.402,298.15,101.3,853.8,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
Xhqlr,0.5021,298.15,101.3,857.1,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
Xhqlr,0.6083,298.15,101.3,859.8,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
Xhqlr,0.705,298.15,101.3,862.3,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
Xhqlr,0.8013,298.15,101.3,863.9,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
Xhqlr,0.9013,298.15,101.3,865.4,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
Xhqlr,1,298.15,101.3,866.5,Jacquemin et al. (2011),Density,Liquid,AAHueB,CC#N,acetonitrile,AAxuIo,CCCCCCC(=O)[O-].CC[NH+](C(C)C)C(C)C,N-ethyl-N-isopropylpropan-2-aminium heptanoate,,,
