setid,Mole fraction of 1-hexyl-3-methylimidazolium hexafluorophosphate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XIfcr,0,298.15,101,784.4,Pereiro et al. (2006b),Density,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
XIfcr,0.0462,298.15,101,864.1,Pereiro et al. (2006b),Density,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
XIfcr,0.0911,298.15,101,925.4,Pereiro et al. (2006b),Density,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
XIfcr,0.1933,298.15,101,1027.6,Pereiro et al. (2006b),Density,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
XIfcr,0.2775,298.15,101,1087.3,Pereiro et al. (2006b),Density,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
XIfcr,0.3621,298.15,101,1132.8,Pereiro et al. (2006b),Density,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
XIfcr,0.468,298.15,101,1176.8,Pereiro et al. (2006b),Density,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
XIfcr,0.5483,298.15,101,1203.2,Pereiro et al. (2006b),Density,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
XIfcr,0.6029,298.15,101,1218.6,Pereiro et al. (2006b),Density,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
XIfcr,0.7127,298.15,101,1244.9,Pereiro et al. (2006b),Density,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
XIfcr,0.8174,298.15,101,1265.4,Pereiro et al. (2006b),Density,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
XIfcr,0.911,298.15,101,1280.9,Pereiro et al. (2006b),Density,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
XIfcr,0.9518,298.15,101,1286.8,Pereiro et al. (2006b),Density,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
XIfcr,1,298.15,101,1293.7,Pereiro et al. (2006b),Density,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
