setid,"MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qZHMF,0,101,298.15,810.95,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
qZHMF,0.0154,101,298.15,812.06,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
qZHMF,0.03,101,298.15,813.1,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
qZHMF,0.0487,101,298.15,814.42,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
qZHMF,0.0974,101,298.15,817.8,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
qZHMF,0.1343,101,298.15,820.31,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
qZHMF,0.1565,101,298.15,821.79,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
qZHMF,0.1962,101,298.15,824.44,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
qZHMF,0.2306,101,298.15,826.7,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
qZHMF,0.3052,101,298.15,831.48,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
qZHMF,0.392,101,298.15,836.89,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
qZHMF,0.4828,101,298.15,842.41,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
qZHMF,0.5887,101,298.15,848.61,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
