setid,Mole fraction of tris(2-hydroxyethyl) methylammonium methylsulfate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qhnXw,0.0482,298.15,101,876.74,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
qhnXw,0.0981,298.15,101,951.17,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
qhnXw,0.1509,298.15,101,1014.1,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
qhnXw,0.1994,298.15,101,1061.07,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
qhnXw,0.242,298.15,101,1097.16,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
qhnXw,0.2922,298.15,101,1132.75,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
qhnXw,0.3882,298.15,101,1187.8,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
qhnXw,0.4841,298.15,101,1229.3,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
qhnXw,0.5923,298.15,101,1264.5,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
qhnXw,0.6288,298.15,101,1273.9,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
qhnXw,0.6881,298.15,101,1288.7,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
qhnXw,0.7379,298.15,101,1299.2,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
qhnXw,0.7878,298.15,101,1309.5,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
qhnXw,0.8379,298.15,101,1318.8,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
qhnXw,0.8738,298.15,101,1324.4,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
qhnXw,0.9203,298.15,101,1331.9,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,
