setid,"Temperature, K","Pressure, kPa",Mole fraction of benzyltributylammonium chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TRzKg,283.15,100,0.25,1045,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
TRzKg,288.15,100,0.25,1042,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
TRzKg,293.15,100,0.25,1039,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
TRzKg,298.15,100,0.25,1036,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
TRzKg,303.15,100,0.25,1033,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
TRzKg,308.15,100,0.25,1030,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
TRzKg,313.15,100,0.25,1026,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
TRzKg,318.15,100,0.25,1023,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
TRzKg,323.15,100,0.25,1020,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
TRzKg,328.15,100,0.25,1017,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
TRzKg,333.15,100,0.25,1014,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
TRzKg,338.15,100,0.25,1011,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
TRzKg,343.15,100,0.25,1008,Basaiahgari et al. (2018),Density,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
