setid,Mole fraction of butanoic acid,Mole fraction of hexane,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
htFpW,0.1702,0.1998,303.15,100,1127.6,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane
htFpW,0.2449,0.1936,303.15,100,1116.8,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane
htFpW,0.4103,0.18,303.15,100,1087.2,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane
htFpW,0.4594,0.1901,303.15,100,1061,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane
htFpW,0.5438,0.1838,303.15,100,1036.8,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane
htFpW,0.59,0.2097,303.15,100,996.9,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane
htFpW,0.6399,0.33,303.15,100,853.1,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane
htFpW,0.6473,0.2108,303.15,100,975,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane
htFpW,0.6702,0.2899,303.15,100,881.7,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane
htFpW,0.6731,0.2412,303.15,100,934.4,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane
htFpW,0.6733,0.2688,303.15,100,905.9,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane
htFpW,0.6801,0.2911,303.15,100,870.3,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane
