setid,Mole fraction of 1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qzxOv,0.001455,318.15,100,991.43,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
qzxOv,0.001456,288.15,100,1000.99,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
qzxOv,0.001939,308.15,100,995.873,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
qzxOv,0.001939,318.15,100,991.809,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
qzxOv,0.00194,298.15,100,999.158,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
qzxOv,0.001941,288.15,100,1001.57,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
qzxOv,0.002422,318.15,100,992.176,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
qzxOv,0.002423,298.15,100,999.648,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
qzxOv,0.002423,308.15,100,996.296,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
qzxOv,0.002425,288.15,100,1002.13,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
qzxOv,0.002905,318.15,100,992.534,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
qzxOv,0.002906,308.15,100,996.708,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
qzxOv,0.002907,298.15,100,1000.12,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
qzxOv,0.002908,288.15,100,1002.68,Vatascin and Dohnal (2015),Density,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,
