setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,Mole fraction of propanoic acid,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MRDVR,293.15,0.0756,0.4765,100,990.1,Singh et al. (2017a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAOMRa,CCC(=O)O,propanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
MRDVR,293.15,0.1074,0.2567,100,982.8,Singh et al. (2017a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAOMRa,CCC(=O)O,propanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
MRDVR,293.15,0.1175,0.1866,100,980.1,Singh et al. (2017a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAOMRa,CCC(=O)O,propanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
MRDVR,293.15,0.124,0.7536,100,1057.6,Singh et al. (2017a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAOMRa,CCC(=O)O,propanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
MRDVR,293.15,0.1316,0.0898,100,976.6,Singh et al. (2017a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAOMRa,CCC(=O)O,propanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
MRDVR,293.15,0.1812,0.3427,100,1044.9,Singh et al. (2017a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAOMRa,CCC(=O)O,propanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
MRDVR,293.15,0.2223,0.1931,100,1051.8,Singh et al. (2017a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAOMRa,CCC(=O)O,propanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
MRDVR,293.15,0.2398,0.1274,100,1054.7,Singh et al. (2017a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAOMRa,CCC(=O)O,propanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
MRDVR,293.15,0.2472,0.7373,100,1116.9,Singh et al. (2017a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAOMRa,CCC(=O)O,propanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
MRDVR,293.15,0.2593,0.485,100,1099.3,Singh et al. (2017a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAOMRa,CCC(=O)O,propanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
