setid,"Temperature, K","MolaLity of (S)-2-aminopropanoic acid, mol/kg","Pressure, kPa","Solvent: MolaLity of 1-butyl-2,3-dimethylimidazolium bromide, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uKRAW,293.15,0.0182,100,0.1,1003.66,Chen et al. (2017a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
uKRAW,293.15,0.0323,100,0.1,1004.07,Chen et al. (2017a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
uKRAW,293.15,0.0527,100,0.1,1004.67,Chen et al. (2017a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
uKRAW,293.15,0.0593,100,0.1,1004.86,Chen et al. (2017a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
uKRAW,293.15,0.073,100,0.1,1005.26,Chen et al. (2017a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
uKRAW,293.15,0.0799,100,0.1,1005.45,Chen et al. (2017a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
uKRAW,293.15,0.098,100,0.1,1005.96,Chen et al. (2017a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
uKRAW,293.15,0.1184,100,0.1,1006.54,Chen et al. (2017a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
uKRAW,293.15,0.13,100,0.1,1006.86,Chen et al. (2017a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
uKRAW,293.15,0.1412,100,0.1,1007.17,Chen et al. (2017a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
uKRAW,293.15,0.1616,100,0.1,1007.73,Chen et al. (2017a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
uKRAW,293.15,0.1838,100,0.1,1008.34,Chen et al. (2017a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
uKRAW,293.15,0.2015,100,0.1,1008.82,Chen et al. (2017a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
uKRAW,298.15,0.0182,100,0.1,1002.43,Chen et al. (2017a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
uKRAW,298.15,0.0323,100,0.1,1002.84,Chen et al. (2017a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
uKRAW,298.15,0.0527,100,0.1,1003.43,Chen et al. (2017a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide"
