setid,Weight fraction of 1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DrMXT,0,298.15,101,1095.1,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
DrMXT,0,308.15,101,1085.1,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
DrMXT,0,318.15,101,1075,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
DrMXT,0,328.15,101,1065,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
DrMXT,0,338.15,101,1055,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
DrMXT,0,348.15,101,1044.9,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
DrMXT,0,358.15,101,1034.9,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
DrMXT,0.25,288.15,101,1167.3,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
DrMXT,0.25,298.15,101,1157.3,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
DrMXT,0.25,308.15,101,1147.4,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
DrMXT,0.25,318.15,101,1137.5,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
DrMXT,0.25,328.15,101,1127.6,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
DrMXT,0.25,338.15,101,1117.8,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
DrMXT,0.25,348.15,101,1108,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
DrMXT,0.25,358.15,101,1098.2,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
DrMXT,0.5,278.15,101,1249.7,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
DrMXT,0.5,288.15,101,1239.9,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
DrMXT,0.5,298.15,101,1230,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
