setid,Solvent: Weight fraction of triethylammonium dihydrogen phosphate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Csxey,0.123,298.15,101,1102.02,Vasantha et al. (2013),Density,Liquid,Crystal of pure component 1,,3,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water
Csxey,0.19,298.15,101,1105.92,Vasantha et al. (2013),Density,Liquid,Crystal of pure component 1,,3,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water
Csxey,0.259,298.15,101,1110.17,Vasantha et al. (2013),Density,Liquid,Crystal of pure component 1,,3,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water
