setid,"MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaLity of pentan-1-ol, mol/kg","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZcJrN,0.02828,101,298,0.02,0.499,De Lisi et al. (1990c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
ZcJrN,0.05507,101,298,0.02,0.838,De Lisi et al. (1990c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
ZcJrN,0.07354,101,298,0.02,1.119,De Lisi et al. (1990c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
ZcJrN,0.113,101,298,0.02,1.624,De Lisi et al. (1990c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
ZcJrN,0.1304,101,298,0.02,1.814,De Lisi et al. (1990c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
ZcJrN,0.136,101,298,0.02,1.883,De Lisi et al. (1990c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
ZcJrN,0.1467,101,298,0.02,1.981,De Lisi et al. (1990c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
ZcJrN,0.1631,101,298,0.02,2.245,De Lisi et al. (1990c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
ZcJrN,0.2523,101,298,0.02,3.398,De Lisi et al. (1990c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
ZcJrN,0.3441,101,298,0.02,4.485,De Lisi et al. (1990c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
ZcJrN,0.4405,101,298,0.02,5.547,De Lisi et al. (1990c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
ZcJrN,0.5437,101,298,0.02,6.698,De Lisi et al. (1990c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
ZcJrN,0.7625,101,298,0.02,8.865,De Lisi et al. (1990c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
ZcJrN,0.8824,101,298,0.02,9.936,De Lisi et al. (1990c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
