setid,"Temperature, K","MolaLity of cholinium nicotinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kajVF,293.15,0.0048,100,998.37,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,293.15,0.0061,100,998.42,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,293.15,0.0078,100,998.48,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,293.15,0.0099,100,998.56,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,293.15,0.0118,100,998.63,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,293.15,0.0144,100,998.72,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,293.15,0.0175,100,998.84,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,293.15,0.0223,100,999.02,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,293.15,0.0273,100,999.21,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,293.15,0.0309,100,999.35,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,293.15,0.0362,100,999.56,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,298.15,0.0048,100,997.2,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,298.15,0.0061,100,997.25,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,298.15,0.0078,100,997.31,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,298.15,0.0099,100,997.38,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,298.15,0.0118,100,997.45,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,298.15,0.0144,100,997.55,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,298.15,0.0175,100,997.66,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,298.15,0.0223,100,997.84,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,298.15,0.0273,100,998.03,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,298.15,0.0309,100,998.18,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,298.15,0.0362,100,998.39,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,303.15,0.0048,100,995.79,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,303.15,0.0061,100,995.83,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,303.15,0.0078,100,995.89,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,303.15,0.0099,100,995.96,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,303.15,0.0118,100,996.02,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,303.15,0.0144,100,996.11,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,303.15,0.0175,100,996.22,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,303.15,0.0223,100,996.4,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,303.15,0.0273,100,996.6,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,303.15,0.0309,100,996.74,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,303.15,0.0362,100,996.96,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,308.15,0.0048,100,994.15,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
