setid,Mole fraction of methanol,Mole fraction of acetone,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ovAHa,0.0211,0.7657,298.15,101,889.4,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
ovAHa,0.0211,0.7657,303.15,101,884.1,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
ovAHa,0.0211,0.7657,313.15,101,873.5,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
ovAHa,0.0245,0.6613,298.15,101,897.5,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
ovAHa,0.0245,0.6613,303.15,101,892.2,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
ovAHa,0.0245,0.6613,313.15,101,881.3,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
ovAHa,0.0272,0.213,298.15,101,882.5,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
ovAHa,0.0272,0.213,303.15,101,877,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
ovAHa,0.0272,0.213,313.15,101,865.7,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
ovAHa,0.0549,0.4019,298.15,101,978.1,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
ovAHa,0.0549,0.4019,303.15,101,972.4,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
ovAHa,0.0549,0.4019,313.15,101,961,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
ovAHa,0.0795,0.5957,298.15,101,1064,Deenadayalu and Bhujrajh (2008),Density,Liquid,AAGIBL,CO,methanol,AALIPU,CC(C)=O,acetone,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
