setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium thiocyanate,Mole fraction of acetic acid,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bAsbQ,293.15,0.0807,0.5208,100,983.6,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile
bAsbQ,293.15,0.1237,0.7741,100,1052.5,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile
bAsbQ,293.15,0.1318,0.2153,100,942.1,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile
bAsbQ,293.15,0.1947,0.3792,100,1000.6,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile
bAsbQ,293.15,0.2444,0.2184,100,988.9,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile
bAsbQ,293.15,0.2659,0.1458,100,984.3,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile
bAsbQ,293.15,0.2666,0.5138,100,1041.1,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile
bAsbQ,293.15,0.3581,0.347,100,1035.5,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile
bAsbQ,293.15,0.387,0.507,100,1060.7,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile
bAsbQ,293.15,0.3907,0.5872,100,1071.4,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile
