setid,"Temperature, K","Mole fraction of 1-butyl-2,3-dimethylimidazolium tetrafluoroborate",Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CfyHy,293.15,0.1215,0.7767,100,1253.4,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
CfyHy,293.15,0.1397,0.754,100,1251,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
CfyHy,293.15,0.1531,0.7399,100,1249.6,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
CfyHy,293.15,0.1654,0.7201,100,1248.2,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
CfyHy,293.15,0.1892,0.701,100,1245.6,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
CfyHy,293.15,0.2029,0.6954,100,1244.4,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
CfyHy,293.15,0.2147,0.6819,100,1243,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
CfyHy,293.15,0.2416,0.6518,100,1240.6,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
CfyHy,293.15,0.264,0.6245,100,1238.3,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
CfyHy,293.15,0.2817,0.6049,100,1236.4,Gupta et al. (2017a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
