setid,Weight fraction of lithium nitrate,Weight fraction of 1-butyl-3-methylimidazolium bromide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FPUdn,0.333,0.167,293.15,101,1306,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.333,0.167,303.15,101,1299,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.333,0.167,313.15,101,1292,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.333,0.167,323.15,101,1285,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.333,0.167,333.15,101,1279,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.333,0.167,343.15,101,1272,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.333,0.167,353.15,101,1265,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.333,0.167,363.15,101,1258,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.333,0.167,373.15,101,1251,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.367,0.183,293.15,101,1333,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.367,0.183,303.15,101,1326,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.367,0.183,313.15,101,1319,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.367,0.183,323.15,101,1312,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.367,0.183,333.15,101,1305,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.367,0.183,343.15,101,1298,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.367,0.183,353.15,101,1291,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.367,0.183,363.15,101,1285,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.367,0.183,373.15,101,1279,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.4,0.2,293.15,101,1367,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
