setid,"Mole fraction of 1,2-dimethylbenzene","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
plLkc,0,343.15,100,1224,Requejo et al. (2017),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
plLkc,0.152,343.15,100,1205,Requejo et al. (2017),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
plLkc,0.26,343.15,100,1188,Requejo et al. (2017),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
plLkc,0.365,343.15,100,1168,Requejo et al. (2017),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
plLkc,0.506,343.15,100,1134,Requejo et al. (2017),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
plLkc,0.623,343.15,100,1097,Requejo et al. (2017),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
plLkc,0.751,343.15,100,1047,Requejo et al. (2017),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
